name,language,stargazers_count,updated_at,html_url
Hello-World,,3222,2025-10-30T10:28:18Z,https://github.com/octocat/Hello-World
Spoon-Knife,HTML,13332,2025-10-30T13:12:12Z,https://github.com/octocat/Spoon-Knife
boysenberry-repo-1,,381,2025-10-29T09:11:13Z,https://github.com/octocat/boysenberry-repo-1
git-consortium,,487,2025-10-28T16:57:37Z,https://github.com/octocat/git-consortium
hello-worId,,635,2025-10-29T18:55:34Z,https://github.com/octocat/hello-worId
linguist,Ruby,615,2025-10-28T16:55:28Z,https://github.com/octocat/linguist
octocat.github.io,CSS,940,2025-10-28T16:55:05Z,https://github.com/octocat/octocat.github.io
test-repo1,,371,2025-10-29T09:11:07Z,https://github.com/octocat/test-repo1
