name,language,stargazers_count,updated_at,html_url
1590A,OpenSCAD,435,2025-10-27T05:25:33Z,https://github.com/torvalds/1590A
GuitarPedal,OpenSCAD,1136,2025-10-30T02:37:27Z,https://github.com/torvalds/GuitarPedal
libdc-for-dirk,C,282,2025-10-27T05:25:35Z,https://github.com/torvalds/libdc-for-dirk
libgit2,C,229,2025-10-27T05:25:40Z,https://github.com/torvalds/libgit2
linux,C,205982,2025-10-30T15:14:37Z,https://github.com/torvalds/linux
pesconvert,C,454,2025-10-27T05:25:41Z,https://github.com/torvalds/pesconvert
subsurface-for-dirk,C++,345,2025-10-27T05:25:36Z,https://github.com/torvalds/subsurface-for-dirk
test-tlb,C,830,2025-10-27T05:25:37Z,https://github.com/torvalds/test-tlb
uemacs,C,1624,2025-10-30T09:47:28Z,https://github.com/torvalds/uemacs
