name,language,stargazers_count,updated_at,html_url
DO180-apps,,1,2021-06-07T07:55:06Z,https://github.com/sowmi-kasthuri/DO180-apps
DO288-apps,,1,2021-06-08T05:20:30Z,https://github.com/sowmi-kasthuri/DO288-apps
GitHub_Copilot,JavaScript,0,2025-10-09T16:01:07Z,https://github.com/sowmi-kasthuri/GitHub_Copilot
ai-learning-journey,Python,1,2025-10-30T09:42:13Z,https://github.com/sowmi-kasthuri/ai-learning-journey
k8s-project,,0,2020-10-15T09:18:31Z,https://github.com/sowmi-kasthuri/k8s-project
k8s-project-1,,0,2020-10-15T05:49:21Z,https://github.com/sowmi-kasthuri/k8s-project-1
skills-getting-started-with-github-copilot,JavaScript,0,2025-10-09T16:08:27Z,https://github.com/sowmi-kasthuri/skills-getting-started-with-github-copilot
